GovtID,25,Grand Total
1E+12,303399,125153004
2E+12,218639,122714353
3E+12,248817,159798976
4E+12,135919,83316471
5E+12,3991373,1547194538
6E+12,478973,170296073
7E+12,711630,182368184
8E+12,202313,49199809
1E+13,1934665,485772500
1.1E+13,345231,229475858
1.2E+13,225883,64062490
1.3E+13,97437,48875209
1.4E+13,518458,450193325
1.5E+13,394835,196013434
1.6E+13,286559,103201200
1.7E+13,189196,74243496
1.8E+13,519899,135728546
1.9E+13,344445,170348866
2E+13,88299,50357613
2.1E+13,567926,212175512
2.2E+13,1030302,397911488
2.3E+13,357687,296094396
2.4E+13,456480,191280216
2.5E+13,161607,90764294
2.6E+13,274930,195908800
2.7E+13,105308,42900971
2.8E+13,72648,44552590
2.9E+13,106668,73176016
3E+13,123542,51034789
3.1E+13,969290,416935869
3.2E+13,275222,103084039
3.3E+13,2846615,1094581710
3.4E+13,752628,275156889
3.5E+13,76220,41808990
3.6E+13,502773,483296538
3.7E+13,301486,116950147
3.8E+13,478188,174534084
3.9E+13,637013,429896593
4E+13,121992,57861840
4.1E+13,124103,138885353
4.2E+13,56115,33957251
4.3E+13,333040,131525098
4.4E+13,899603,694423302
4.5E+13,223387,85989739
4.6E+13,73392,28543307
4.7E+13,619322,259639254
4.8E+13,253088,267183817
4.9E+13,278835,69659917
5E+13,351321,245791462
5.1E+13,81803,45339269
