Category,Year,Amount
Supreme Court,2000,8279360
Supreme Court,2001,7461875
Supreme Court,2002,7171556
Supreme Court,2003,7189442
Supreme Court,2004,7824111
Supreme Court,2005,11662306
Supreme Court,2006,19441097
Supreme Court,2007,13662596
Supreme Court,2008,9269214
Supreme Court,2009,9041496
Supreme Court,2010,9507529
Supreme Court,2011,9183552
Supreme Court,2012,9831902
Supreme Court,2013,13986431
Supreme Court,2014,9766950
OSCA,2000,11280019
OSCA,2001,12366808
OSCA,2002,17234478
OSCA,2003,12963691
OSCA,2004,15883031
OSCA,2005,17358690
OSCA,2006,18252123
OSCA,2007,19462178
OSCA,2008,19099421
OSCA,2009,20454190
OSCA,2010,21771130
OSCA,2011,22124611
OSCA,2012,21455541
OSCA,2013,21776542
OSCA,2014,21536357
Administered Funds,2000,30165275
Administered Funds,2001,36941771
Administered Funds,2002,6659165
Administered Funds,2003,363576
Administered Funds,2004,7262200
Administered Funds,2005,6274334
Administered Funds,2006,7924334
Administered Funds,2007,7723196
Administered Funds,2008,0
Administered Funds,2009,0
Administered Funds,2010,0
Administered Funds,2011,0
Administered Funds,2012,0
Administered Funds,2013,0
Administered Funds,2014,9205877
DCAs,2000,49656468
DCAs,2001,35605978
DCAs,2002,36166589
DCAs,2003,35542109
DCAs,2004,37819075
DCAs,2005,38825347
DCAs,2006,43250847
DCAs,2007,51555929
DCAs,2008,39896735
DCAs,2009,39738681
DCAs,2010,40689540
DCAs,2011,41692413
DCAs,2012,39653942
DCAs,2013,40643599
DCAs,2014,54649324
JQC,2000,770485
JQC,2001,751308
JQC,2002,809308
JQC,2003,812641
JQC,2004,820156
JQC,2005,819710
JQC,2006,1014828
JQC,2007,945598
JQC,2008,926838
JQC,2009,926195
JQC,2010,916407
JQC,2011,921952
JQC,2012,903048
JQC,2013,908534
JQC,2014,932849
Trial Courts,2000,189489935
Trial Courts,2001,207376852
Trial Courts,2002,223928100
Trial Courts,2003,212943725
Trial Courts,2004,321999738
Trial Courts,2005,330466557
Trial Courts,2006,360507155
Trial Courts,2007,384630712
Trial Courts,2008,364014368
Trial Courts,2009,381150551
Trial Courts,2010,389468920
Trial Courts,2011,384205825
Trial Courts,2012,372083906
Trial Courts,2013,366101085
,2014,405465467
